Category,Question,Answer
IT'S A DATE!,"(Jimmy of the Clue Crew at the USS Arizona Memorial in Pearl Harbor, Hawaii)  Pearl Harbor will always be remembered for this date in 1941, which FDR said ""will live in infamy""",7-Dec
"""J"" WHIZ","It's not a type of fruit spread, but a large extended campout for several Boy Scout troops together",jamboree
WEATHER WORLD,"In Venezuela, this ""season"" is from April to October; in the mountains of Peru, from November to March",rainy season
ON THE COVER OF SGT. PEPPER,"This actor is in costume from his film ""The Wild One""",Marlon Brando
CLOTHING WORDS,"Breathes heavily, like a dog or a tired jogger",pants
MY PLACE?,"The introduction to ""The Song of Hiawatha"" mentions ""the curling smoke of"" these dwellings",wigwams
IT'S A DATE!,"Oregon entered the union on this date in 1859, sweetie",14-Feb
"""J"" WHIZ",It's believed that the Virgin Mary died in this Middle Eastern city,Jerusalem
WEATHER WORLD,It's the U.S. state that experiences the most tornadoes,Texas
ON THE COVER OF SGT. PEPPER,The Beatles' bass player before Paul took over,Stu Sutcliffe
CLOTHING WORDS,A layer of paint,coat
MY PLACE?,"A book subtitled ""Architecture in the Colombian Countryside"" showcases the estates called these in Spanish",haciendas
IT'S A DATE!,"It's Bird Day in Oklahoma, & a popular date for pole dancing",1-May
"""J"" WHIZ",This 1847 novel takes place mainly at Lowood Orphan Asylum & Thornfield Hall,"""Jane Eyre"""
WEATHER WORLD,"The Australian mountains that include the Charlotte's Pass ski area, or the weather there in July",Snowy
ON THE COVER OF SGT. PEPPER,"This ""Das Kapital"" author stands between comedian Oliver Hardy & H.G. Wells",Karl Marx
CLOTHING WORDS,Hits hard,socks/belts
MY PLACE?,A western camper pitches a tent; a central Asian nomad pitches this,yurt
IT'S A DATE!,"O Canada celebrates Canada Day on this date, 3 days before a big American holiday",1-Jul
"""J"" WHIZ",The Hagia Sophia in Istanbul was one of the many churches built by this 6th century Byzantine emperor,Justinian I
PLAYWRIGHTS,"Critic Walter Kerr called this man's ""Camino Real"" ""The worst play yet written by the best playwright of his generation""",Tennessee Williams
THE 1890s,"Japan had an emperor, Russia, a czar & Italy was ruled by one of these",king
AMERICAN NICKNAMES,"She was called ""Little Missy"" & ""Little Sure Shot""",Annie Oakley
"""S""-OTERICA","Examples of this TV format include ""Leave It to Beaver"" & ""The King of Queens""",sitcom
VIETNAM,"It's not the capital, but this Vietnamese city is the most populous",Ho Chi Minh City (formerly Saigon)
TOUR OF JUDY,Liza & Lorna's mom,Judy Garland
PLAYWRIGHTS,"""May All Your Fences Have Gates"" is a book of ""Essays on the Drama of"" this African-American playwright",August Wilson
THE 1890s,"Of ""Frankenstein"", ""The Invisible Man"" or ""Dracula"", the one not created in 1897","""Frankenstein"" (created in 1818)"
AMERICAN NICKNAMES,"The ""Plant Magician"" was Luther Burbank; this man was the ""Plant Doctor""",George Washington Carver
"""S""-OTERICA",Slang term for a left-handed boxer or fiddle player,southpaw
VIETNAM,"Of the 3 countries that border Vietnam, the one whose name does not begin with the same letter as the other 2",Laos
TOUR OF JUDY,This animated girl attends Orbit High School,Judy Jetson
PLAYWRIGHTS,"(Sofia of the Clue Crew at the Nederlander Theatre in New York City)  This creator of ""Rent"" died the night of its final dress rehearsal, never knowing he would win the Pulitzer Prize",Jonathan Larson
THE 1890s,Relationship of Lizzie Borden to the woman she was acquitted of killing,stepdaughter
AMERICAN NICKNAMES,"Born in 1905, he was the ""Billionaire Recluse""",Howard Hughes
"""S""-OTERICA","It's a low-level football ""catch"" made near the ground by a running player",shoestring catch
VIETNAM,"A fertile marshland, Vietnam's southernmost region is the broad delta of this river",Mekong
TOUR OF JUDY,"Twice nominated for Oscars, this actress once studied at an Australian convent & sang in a rock band",Judy Davis
PLAYWRIGHTS,These British twin brother playwrights wrote mystery novels under the rather obvious alias Peter Anthony,Peter & Anthony Shaffer
AMERICAN NICKNAMES,"Sam Rayburn was ""Mr. Sam"", not ""Mr. Democrat""; this politician was ""Mr. Republican"", not ""Mr. Robert""",Robert Taft
"""S""-OTERICA",(I'm NFL running back Shaun Alexander)  I play in this city that's the farthest distance away from any other NFL city,Seattle
VIETNAM,"The large ""S"" shape that is Vietnam juts out into this sea with a directional name",South China Sea
TOUR OF JUDY,"She played an airheaded blonde to whom William Holden had to teach manners in ""Born Yesterday""",Judy Holliday
PLAYWRIGHTS,"Born in 1799, this poet, novelist & playwright is to Russian literature what Shakespeare is to English literature",Alexander Pushkin
AMERICAN NICKNAMES,"Gloria Vanderbilt or Doris Duke; it's also the translation of the Victoria Ruffo telenovela title ""Pobre Nina Rica""",Poor Little Rich Girl
"""S""-OTERICA",Peter Falk narrated this 1978 documentary in which hardened convicts frightened delinquent kids,Scared Straight
VIETNAM,"Vietnam's narrowest point, about 30 miles, is just north of this port city where U.S. troops landed in 1965",Da Nang
TOUR OF JUDY,"This CNN news anchor once worked as a correspondent for ""The MacNeil/Lehrer Newshour""",Judy Woodruff
CANDY,"Bill Harmsen, who raised horses in Colo., happily founded this candy co. in 1949 to make money during the winter",Jolly Rancher
HISTORIC NICKNAMES,"Because of his Hanoverian heritage, American colonists called this monarch ""German Georgie"" or ""Geordie""",George III
"BIG, REALLY BIG!","Built on 200 acres, this Washington, D.C. train station was once the world's largest",Union Station
POLITICAL MOVIES,2 reporters unearth a political scandal that goes all the way to the top in this 1976 film based on a book,All the President's Men
THE 1990s,"On Jan. 31, 1999 this team repeated as Super Bowl champs with John Elway throwing for 336 yards",the Denver Broncos
U.S. STATES,Do the wild fais-do-do in this state while motoring on Interstate 10 to Baton Rouge or Ponchatoula,Louisiana
HISTORIC NICKNAMES,"Among the more colorful nicknames of this agricultural chemist were ""Peanut Man"" & ""Sweet-Potato Man""",George Washington Carver
"BIG, REALLY BIG!",The 120-foot big bat being transported here is now at the Kentucky museum named for this 2-word brand,Louisville Slugger
POLITICAL MOVIES,"Jimmy Stewart played Jefferson Smith, the naive & idealistic appointee to the U.S. Senate in this Capra classic",Mr. Smith Goes to Washington
THE 1990s,"On January 4, 1995 he was sworn in as the first Republican speaker of the house in more than 40 years",Newt Gingrich
U.S. STATES,It's the only U.S. state named for a French king,Louisiana
HISTORIC NICKNAMES,"This animal phrase meaning ""courageous"" was Richard I of England's nickname",the Lionhearted
"BIG, REALLY BIG!","In 1956 a 12,000-square-mile one of these was seen floating off Antarctica; you might call it titanic",an iceberg
POLITICAL MOVIES,This political satire starred John Travolta as a Southern governor running for president,Primary Colors
THE 1990s,"On Nov. 5, 1996, this GOP candidate joked, ""Tomorrow will be the first time in my life I don't have anything to do""",Bob Dole
HISTORIC NICKNAMES,"He was the ""Father of Texas"", but the Indians called him ""Big Drunk""",Sam Houston
"BIG, REALLY BIG!",(Jimmy of the Clue Crew)  In 1996 a 505 X 255-foot flag decorated this structure seen here in the West,the Hoover Dam
POLITICAL MOVIES,Frank Langella is the power hungry chief of staff in this film in which Kevin Kline plays a presidential impersonator,Dave
THE 1990s,In April 1992 riots broke out in L.A. after a jury failed to convict the policemen involved in the beating of this man,Rodney King
HISTORIC NICKNAMES,"This 19th century American politician & orator was nicknamed ""The Little Giant""",Stephen Douglas
"BIG, REALLY BIG!",Lady Hamilton could tell you the name of this 185-foot column that went up in the early 1840s,(Lord) Nelson's Column
POLITICAL MOVIES,"Michael Douglas played Andrew Shepherd, the title character of this film, & even he had trouble dating",The American President
THE 1990s,"Queen Elizabeth II & Francois Mitterrand appeared together at the opening of this on May 6, 1994","the opening of the ""Chunnel"" (the Channel tunnel)"
"CROSSWORD CLUES ""D""","Scotch, & make it this (6)",double
CAPITOL THINKERS,"This man from Mass. is the ranking Democrat of the Senate's Health, Education, Labor & Pensions Committee",Edward Kennedy
MEET THE PARENTS,"CBS, Blockbuster, Simon & Schuster",Viacom
YOU SHOULD BE IN A BALLET!,This fluffy skirt that you may have to wear was not named for archbishop Desmond,tutu
GROSS NATIONAL PRODUCTS,"In this largest country, comrades left & right enjoy coulibiac, a pie made with the spinal marrow of the sturgeon",Russia
POTPOURRI,"Some think this Irving Berlin song should replace ""The Star-Spangled Banner"" as the national anthem -- it's easier to sing","""God Bless America"""
"CROSSWORD CLUES ""D""","He's the shadowy Watergate source (4,6)","""Deep Throat"""
CAPITOL THINKERS,This self-made man has the distinction of being the longest serving senator ever from West Virginia,Robert Byrd
MEET THE PARENTS,"Aiwa, Epic Records, Columbia Tristar",Sony
YOU SHOULD BE IN A BALLET!,"Your allergy to feathers may prevent you from playing Odette, the queen of the swans in this ballet",Swan Lake
GROSS NATIONAL PRODUCTS,The Masai people of this African country mix cow blood with milk for a refreshing drink,Kenya
POTPOURRI,"Politicians often complain about having to make appearances on this ""unappetizing poultry"" circuit","the ""rubber chicken"" circuit"
CAPITOL THINKERS,"This Ariz. senator said of Bush's energy plan, ""Just one pork barrel project larded onto another""",John McCain
MEET THE PARENTS,"D.C. Comics, MapQuest.com, CNN",Time Warner
YOU SHOULD BE IN A BALLET!,"To star in this 1890 fairy tale ballet, you shouldn't have spindly legs but you will need a spindle",Sleeping Beauty
GROSS NATIONAL PRODUCTS,Sanma aisu is fish-flavored ice cream & taco aisu is octopus-flavored ice cream made in this country,Japan
POTPOURRI,There are Blue & White branches of this African river,the Nile
CAPITOL THINKERS,This Tennessee senator is a practicing physician,Bill Frist
MEET THE PARENTS,"First Colony Life Insurance, Telemundo, NBC",General Electric
YOU SHOULD BE IN A BALLET!,Your striking resemblance to Kirk Douglas has convinced us to star you in the ballet about this gladiator,Spartacus
GROSS NATIONAL PRODUCTS,"When on this north Atlantic island be sure to try hakarl, a traditional dish of rotten shark",Iceland
POTPOURRI,VP Garret Hobart cast the deciding vote against independence for these formerly Spanish Pacific islands,the Philippines
CAPITOL THINKERS,"This Vermont senator wrote, ""You get 15 Democrats together in a room, and you get 20 opinions""",Patrick Leahy
MEET THE PARENTS,"Hyperion Books, Mammoth Records, Miramax Films",Disney
YOU SHOULD BE IN A BALLET!,"Your ""Romeo and Juliet"" will make everyone forget the 1965 triumph of Rudolf Nureyev & this partner",Margot Fonteyn
GROSS NATIONAL PRODUCTS,"Consisting of a sheep's minced heart, lung & liver, haggis is a specialty of this U.K. country",Scotland
POTPOURRI,The website for this Bureau of the Treasury department is www.moneyfactory.com,the Bureau of Printing and Engraving
THE PRESIDENCY,"If a president is impeached, this official presides over the trial in the Senate",the Chief Justice of the United States
AFRICAN GEOGRAPHY,"The Qattara Depression, one of Africa's lowest points, lies 300 miles southwest of this country's pyramids",Egypt
"BON APPE-""T""",A folded tortilla filled with various ingredients,Taco
MONEY SLANG,Cheap way off a rodeo bronco,Buck
AIN'T THAT AMERICA,The Mackinac Bridge joins the upper & lower peninsulas of this U.S. state,Michigan
WHY?,These events occur because gas-filled magma is forced to the surface by pressure from solid rock,Volcanic eruptions
THE BUTLER DID IT,"Ted Cassidy played Bigfoot on ""The Six Million Dollar Man"" & filled this servant's shoes on ""The Addams Family""",Lurch
AFRICAN GEOGRAPHY,Arabs call this Libyan capital Tarabulus,Tripoli
"BON APPE-""T""","This ""steak"" is a hot dog",Tube steak
MONEY SLANG,"No ""Wonder"" you're on a ""roll"" -- you're not a ""loaf""er & you're earning a lot of this",Bread/dough
AIN'T THAT AMERICA,This state was named for a man who was a European king from 1643 to 1715,Louisiana
WHY?,"They're ""unlucky"" because in the Middle Ages they were thought to be the mascots of witches",Black cats
THE BUTLER DID IT,He must have a great benefit plan; Alfred began his service to this crime fighter way back in 1943,Batman
AFRICAN GEOGRAPHY,"Most of Africa's major rivers, including the Congo & the Niger, flow into this ocean",Atlantic
"BON APPE-""T""",This root vegetable often has white skin & a purple-tinged top,Turnip
MONEY SLANG,"If you have the itch to start a business ""from"" it, you'll certainly need some of it",Scratch
AIN'T THAT AMERICA,There are more farms in this large southwestern state than in any other,Texas
WHY?,"According to Genesis 3:14, because it tricked Eve",Why does the snake crawl on the ground?
THE BUTLER DID IT,"Robert Guillaume cleaned up on ""Soap"" before moving to the governor's mansion on this series",Benson
AFRICAN GEOGRAPHY,"In addition to its bountiful wildlife, this desert is the site of the Orapa diamond mine, one of the world's largest",Kalahari
"BON APPE-""T""",It's a cross between a pomelo & a tangerine,Tangelo
MONEY SLANG,Bank notes that sing before fa-so-la,Do-re-mi
AIN'T THAT AMERICA,"This town bearing the name of an old TV game show is the seat of Sierra County, New Mexico",Truth or Consequences (Hot Springs)
WHY?,"To punish Vronsky for turning cold to her, & to escape from everything",Why does Anna Karenina kill herself?
THE BUTLER DID IT,"Daniel Davis played Niles the butler on this ""Fine"" TV comedy that featured the Sheffield family",The Nanny
AFRICAN GEOGRAPHY,"Jebel Musa, a promontory in this mountain range, is one of the Pillars of Hercules",Atlas Mountains
"BON APPE-""T""",A yellow cheddar from Oregon,Tillamook
MONEY SLANG,2-word phrase for Henny Penny's lunch,Chicken feed
AIN'T THAT AMERICA,"On June 17, 1969 this controversial erotic revue opened off-Broadway; oh my!",Oh! Calcutta!
WHY?,Because bacteria from carbon dioxide bubbles around which the curd hardens,Why does Swiss cheese have holes?
THE BUTLER DID IT,"Giles was the first name of this Sebastian Cabot character on ""Family Affair""",Mr. French
SCIENCE & NATURE,In the East Indies certain species of this reptile are called flying dragons because they can glide from tree to tree,Lizards
"THE MELBOURNE OLYMPICS, 1956","As an 8-year-old in 1956, she sang with a group welcoming Queen Elizabeth II; later she sang to open the 2000 games",Olivia Newton-John
WRITERS CUBED,"In 1845 he published ""The Raven and Other Poems""; the other poems include ""The Conqueror Worm""",Edgar Allan Poe
BRITISH ROYAL HOUSES,Henry VIII,Tudor
AND I QUOTE,"Type of quotations in the title of ""Bartlett's""",Familiar
"THE ""BUTLER"" DID IT","Film character who said, ""You should be kissed, and often, and by someone who knows how""",Rhett Butler
SCIENCE & NATURE,"Newton, Cassegrain, Schmidt & Maksutov all have types of this instrument named for them",Telescope
"THE MELBOURNE OLYMPICS, 1956","Teams were pulling out left & right, some in protest of the Soviet invasion of this country",Hungary
WRITERS CUBED,"In 1977 a reconstruction of her ""Little House"" was put on the original site 13 miles southwest of Independence",Laura Ingalls Wilder
BRITISH ROYAL HOUSES,George VI,Windsor
AND I QUOTE,"A quote can be taken ""out of"" this, from the Latin for ""to weave together""",Context
"THE ""BUTLER"" DID IT","A former Dodger outfielder & TV's ""Grace Under Fire"" both go by this name",Brett Butler
SCIENCE & NATURE,The flexible neck of this bird of prey allows it to rotate its head an amazing 270 degrees,Owl
"THE MELBOURNE OLYMPICS, 1956","Like Korea in 2000, this country entered the stadium in 1956 as a ""United"" team",Germany
WRITERS CUBED,"19th century minister of the Second Church of Boston, known for essays like ""Self-Reliance""",Ralph Waldo Emerson
BRITISH ROYAL HOUSES,Richard I,Plantagenet
AND I QUOTE,"Kim Walker's character in ""Say Anything"" has this annoying habit when quoting",Making quotations with your fingers
"THE ""BUTLER"" DID IT","This Irish poet who penned ""The Winding Stair"" shares his middle name with his brother Jack & father John",William Butler Yeats
SCIENCE & NATURE,"Change 1 letter in ""protest"" to get this word for a protozoan & others in its kingdom",Protist
WRITERS CUBED,"Her 2000 novel ""Blonde"" is, of course, about Marilyn Monroe",Joyce Carol Oates
BRITISH ROYAL HOUSES,James I,Stuart
AND I QUOTE,"3-word phrase for a quote meant for attribution, or a quote like ""Gretzky's 92 goals are unbeatable!""",On the record
"THE ""BUTLER"" DID IT","In his 1872 novel ""Erewhon"", poverty is considered a crime",Samuel Butler
SCIENCE & NATURE,"Sir Humphry Davy named this yellowish-green gas from a Greek word meaning ""greenish-yellow""",Chlorine
WRITERS CUBED,"""Before I Say Good-Bye"" is her 22nd romantic thriller, so it's no mystery -- she's good",Mary Higgins Clark
BRITISH ROYAL HOUSES,George III,Hanover
AND I QUOTE,Publishing term for the type of quote seen here: [Trebek's...made it into record books as host of television's #1-rated quiz show.],Pull quote
"THE ""BUTLER"" DID IT","The mission statement of this school says it's located ""In...Indianapolis, one of America's most livable cities""",Butler University
THEATRE,"The 1996 musical ""Play On!"" gets its title from the first line of this Shakespeare play, on which it is based","\""Twelfth Night\"""
20th CENTURY QUOTES,"A minister, 1968: ""I've seen the promised land...and I'm happy tonight...I'm not fearing any man""","Dr. Martin Luther King, Jr."
ALL ABOARD THE SOUL TRAIN,"""Soul Train"" premiered in this decade",1970s
WAR STORIES,"""Marching On"", ""By Antietam Creek""",Civil War
EUROPE,Descriptive term for the flag of Italy & the flag of France,Tricolor
WEEDS,The most common cause of hay fever in the U.S. is this substance from ragweed,Pollen
"SEEING ""RED""","In ""Peanuts"", Snoopy often fancied himself a flying ace out to get this pilot",The Red Baron
20th CENTURY QUOTES,"A Communist, 1938: ""Political power grows out of the barrel of a gun""",Mao Tse-tung
ALL ABOARD THE SOUL TRAIN,Oh yessssssss...he created the show & was the original producer & host,Don Cornelius
WAR STORIES,"""Body Count"", ""Coming Home""",Vietnam War
EUROPE,From 1963 to 1978 he was Archbishop of Krakow,Karol Wojtyla (Pope John Paul II)
WEEDS,This common weed seen here has a beverage in its name,Milkweed
"SEEING ""RED""",Excessive bureaucratic procedure resulting in inaction or delay,Red tape
20th CENTURY QUOTES,"A physicist, 1955: ""If only I had known, I would have become a watchmaker""",Albert Einstein
ALL ABOARD THE SOUL TRAIN,"White crossover artists featured on ""Soul Train"" have included David Bowie & this ""Island Girl"" singer",Elton John
WAR STORIES,"""The Good Soldier Schweik"", ""Paths of Glory""",World War I
EUROPE,Geographic region within the Arctic Circle named for the people who call themselves the Sami,Lapland
WEEDS,This plant whose alkaloids ended Socrates' life now grows on American roadsides,Hemlock
"SEEING ""RED""","Stephen Crane wrote, ""He wished that he, too, had a wound,"" this",A red badge of courage
20th CENTURY QUOTES,"A governor, 1963: ""Segregation now!  Segregation tomorrow!  Segregation forever!""",George Wallace
ALL ABOARD THE SOUL TRAIN,This hair care product was among the first major backers of the show,Afro Sheen
WAR STORIES,"""A Walk in the Sun"", ""They Were Expendable""",World War II
EUROPE,It's the smallest in area of the Benelux countries,Luxembourg
WEEDS,This fabric follows Queen Anne's in the name of the weed seen here,Lace
"SEEING ""RED""","In song, just ""remember"" this place ""and the cowboy that loves you so true""",Red River Valley
20th CENTURY QUOTES,"A professor, 1967: ""Turn on, tune in, drop out""",Timothy Leary
ALL ABOARD THE SOUL TRAIN,"To gain better production values, ""Soul Train"" was moved from this city to Los Angeles",Chicago
WAR STORIES,"""Arundel"", ""Johnny Tremain""",The Revolutionary War
EUROPE,"The fertile plain east of the Danube, making up half this country's area, is called the Great Alfold",Hungary
WEEDS,"In the names of weeds, this old word for a plant follows soap- & St. John's",Wort
"SEEING ""RED""","The title of a 1928 song Sophie Tucker introduced, it was also her nickname","""The Last of the Red Hot Mamas"""
INITIAL T.V.,This show which had a 9-year-run on ABC was produced with help from J. Edgar Hoover,The F.B.I.
SAINTS BE PRAISED,"The emblem of St. Lawrence, it's also a nickname for a football field",Gridiron
MR. OR MS. WILLIAMS,"Elected to the Hall of Fame in 1966, his lifetime batting average was .344",Ted Williams
AIN'T THAT AMERICA,This state's largest lake may be 20 times as salty as any ocean,Utah (Great Salt Lake)
"SOMETHIN' TO ""C""","Oscar & Felix were an ""odd"" one",Couple
INITIAL T.V.,"This '60s police drama with Jack Warden was missing the ""blue"" of the series that began in 1993",N.Y.P.D.
SAINTS BE PRAISED,The first American citizen canonized was an immigrant from this country,Italy (Mother Cabrini)
MR. OR MS. WILLIAMS,"This crooner's hits include 1971's ""Where Do I Begin"" & 1959's ""Lonely Street""",Andy Williams
AIN'T THAT AMERICA,"Francis Scott Key wrote ""The Star-Spangled Banner"" while in this state during the War of 1812",Maryland
"SOMETHIN' TO ""C""",Ichabod's patronymic,Crane
PHYSICAL SCIENCE,Max Planck gave this name to the smallest amount of energy that can be emitted as electromagnetic radiation,Quantum
INITIAL T.V.,"[Hi, I'm Pat O'Brien]  David E. Kelley won 2 Emmys for this show in 1991, one as executive producer, one as writer",L.A. Law
SAINTS BE PRAISED,"Saint Brigid was buried at Kildare, but was later moved to be buried with this saint",Saint Patrick
MR. OR MS. WILLIAMS,"""The Hillbilly Shakespeare"" is one nickname of this legendary singer","Hank Williams, Sr."
AIN'T THAT AMERICA,Ice cream cones were reportedly first served at the 1904 World's Fair in this state,Missouri (St. Louis)
"SOMETHIN' TO ""C""",The means of production are privately owned in this economic system,Capitalism
PHYSICAL SCIENCE,"To scientists, it's force times distance; to Twain, it's ""whatever a body is obliged to do""",Work
INITIAL T.V.,This '70s series about a harsh Navy drill instructor with a soft heart starred Don Rickles,C.P.O. Sharkey
SAINTS BE PRAISED,"Philip of Moscow foresaw that his post as primate of the Russian church might lead to martyrdom, as this man was czar",Ivan the Terrible
MR. OR MS. WILLIAMS,The aquatic Mrs. Fernando Lamas,Esther Williams
AIN'T THAT AMERICA,In 1886 a pharmacist in this southern state became the first man to enjoy a Coke and a smile,Georgia
PHYSICAL SCIENCE,Stoichiometry is defined as the study of the quantities involved in these chemical events,Chemical reactions
INITIAL T.V.,"Organization that employed Alexander Waverly, Mark Slate & Illya Kuryakin",U.N.C.L.E. (United Network Command for Law and Enforcement)
SAINTS BE PRAISED,"In September 1999 an abridged version of his ""City of God"" ranked 9,821st on Amazon.com's sales list",Saint Augustine
